Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
443,6,20/02/2018 09:50:36,583,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.45918441321721,0.0,0.0,0.0,0.0,132075.47169811322,5145.797598627788,291.5,371.23106012293744,554.0,29.0,583.0,291.5,371.23106012293744,554.0,29.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,5145.797598627788,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,257,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,6,20/02/2018 09:18:08,115850666,16,14,459.0,913.0,448.0,0.0,28.6875,111.81754111050736,913.0,0.0,65.2142857142857,244.00951386604345,11.842832219885556,0.2589540572861273,3994850.5517241377,4883675.951734459,10010049.0,11.0,115850666.0,7723377.7333333315,4142741.849815176,10030943.0,333.0,110366267.0,8489712.846153846,3760330.552581999,10030976.0,12760.0,0,0,0,0,332,424,0.1381088305526012,0.120845226733526,0.0,913.0,44.25806451612905,180.1445656025433,32452.06451612904,0,0,1,1,0,0,0,1,0.0,45.73333333333333,28.6875,65.21428571428571,0,0,0,0,0,0,16,459,14,913,8192,946,12,20,29890.72727272728,29822.1963915836,119808.0,20849.0,10003399.363636363,21940.27592931638,10010049.0,9937247.0
445,6,20/02/2018 02:34:15,76898,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.01695752815418,25632.666666666664,44302.68504654468,76789.0,46.0,76898.0,38449.0,54310.04343581397,76852.0,46.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,39.01271814611564,13.004239382038543,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,6,02/03/2018 01:03:47,150,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13333.33333,150.0,0.0,150.0,150.0,150.0,150.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,13333.33333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,17,20/02/2018 12:05:51,430,1,1,37.0,53.0,37.0,37.0,37.0,0.0,53.0,53.0,53.0,0.0,209302.32558139536,4651.162790697675,430.0,0.0,430.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2325.5813953488373,2325.5813953488373,37.0,53.0,42.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1.0,63.5,37.0,53.0,0,0,0,0,0,0,1,37,1,53,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,6,15/02/2018 11:55:35,115679528,16,14,447.0,788.0,436.0,0.0,27.9375,108.8175652181,788.0,0.0,56.2857142857,210.601858627,10.6760463269,0.2593371577,3988949.24137931,4886396.32259215,10004114.0,49.0,115679528.0,7711968.53333333,4142682.75849877,10015364.0,292.0,110179755.0,8475365.76923077,3758821.50728831,10015565.0,447.0,0,0,0,0,332,424,0.1383131508,0.1210240069,0.0,788.0,39.8387096774,159.3581075804,25395.0064516129,0,0,0,1,0,0,0,0,0.0,41.1666666667,27.9375,56.2857142857,0,0,0,0,0,0,16,447,14,788,8192,288,12,20,16940.2727272727,18686.7863266583,73283.0,11250.0,9999369.90909091,15432.2737693093,10004114.0,9952840.0
53,17,20/02/2018 09:16:06,107236,2,2,62.0,220.0,31.0,31.0,31.0,0.0,110.0,110.0,110.0,0.0,2629.71390204782,37.30090641202581,35745.33333333333,32590.056464101643,63879.0,34.0,63879.0,63879.0,0.0,63879.0,63879.0,34.0,34.0,0.0,34.0,34.0,0,0,0,0,16,16,18.650453206012905,18.650453206012905,31.0,110.0,62.6,43.27008204290812,1872.3,0,0,0,0,0,0,0,0,1.0,78.25,31.0,110.0,0,0,0,0,0,0,2,62,2,220,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,17,20/02/2018 02:28:14,22108,2,2,78.0,142.0,39.0,39.0,39.0,0.0,71.0,71.0,71.0,0.0,9951.14890537362,180.92998009770216,7369.333333333334,11353.63511538632,20447.0,33.0,20447.0,20447.0,0.0,20447.0,20447.0,33.0,33.0,0.0,33.0,33.0,0,0,0,0,16,16,90.46499004885108,90.46499004885108,39.0,71.0,51.8,17.527121840165314,307.2,0,0,0,0,0,0,0,0,1.0,64.75,39.0,71.0,0,0,0,0,0,0,2,78,2,142,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,6,21/02/2018 02:27:27,538,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3717.472119,538.0,0.0,538.0,538.0,538.0,538.0,0.0,538.0,538.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,3717.472119,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,17,23/02/2018 11:25:07,1217,1,1,41.0,57.0,41.0,41.0,41.0,0.0,57.0,57.0,57.0,0.0,80525.8833196385,1643.3853738702,1217.0,0.0,1217.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,821.6926869351,821.6926869351,41.0,57.0,46.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1.0,69.5,41.0,57.0,0,0,0,0,0,0,1,41,1,57,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
