Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
51773,6,20/02/2018 01:14:53,586,3,1,97.0,0.0,66.0,0.0,32.33333333333333,33.020195840323744,0.0,0.0,0.0,0.0,165529.01023890782,6825.938566552901,195.3333333333333,323.7164397019919,569.0,0.0,586.0,293.0,414.3645737753168,586.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,20,5119.453924914676,1706.4846416382252,0.0,66.0,32.6,33.01211898682058,1089.8,0,1,0,0,1,0,0,0,0.0,40.75,32.333333333333336,0.0,0,0,0,0,0,0,3,97,1,0,62,0,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
23967,6,02/03/2018 01:44:49,37,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54054.05405,37.0,0.0,37.0,37.0,37.0,37.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,54054.05405,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,256,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
0,0,20/02/2018 04:48:16,891670,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.093420211513228,111458.75,247163.07970346216,710603.0,33.0,891670.0,111458.75,247163.07970346216,710603.0,33.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10.093420211513228,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,22/02/2018 11:08:13,4043227,14,8,1459.0,1731.0,741.0,0.0,104.2142857143,195.1134496691,1179.0,0.0,216.375,405.4647906151,788.9737578424,5.4411983299,192534.619047619,267437.929794275,937531.0,3.0,4043227.0,311017.461538461,351582.69374587,1202754.0,3.0,3955253.0,565036.142857143,373196.824089483,1055585.0,107378.0,0,0,0,0,292,172,3.4625807554,1.9786175745,0.0,1179.0,138.6956521739,280.4109702793,78630.3122529645,0,0,1,1,0,0,0,1,0.0,145.0,104.2142857143,216.375,0,0,0,0,0,0,14,1459,8,1731,8192,62626,7,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,20/02/2018 09:57:48,117087147,13,13,598.0,7681.0,198.0,0.0,46.0,69.13151717318713,1460.0,0.0,590.8461538461538,712.6176915843265,70.70801716605153,0.2220568240508926,4683485.880000001,16173005.86145406,58854322.0,2.0,117087147.0,9757262.25,22743422.993219253,58908528.0,75.0,117010326.0,9750860.5,22750938.48220497,58865519.0,2.0,0,0,0,0,272,272,0.1110284120254463,0.1110284120254463,0.0,1460.0,306.6296296296296,560.8526577486316,314555.7037037037,0,0,1,1,0,0,0,1,1.0,318.4230769230769,46.0,590.8461538461538,0,0,0,0,0,0,13,598,13,7681,8192,62,6,20,85622.5,32953.297323636674,108924.0,62321.0,58419060.5,615552.7164788569,58854322.0,57983799.0,Benign
80,6,20/02/2018 08:44:36,140,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14285.714285714286,140.0,0.0,140.0,140.0,140.0,140.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,14285.714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,278,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,21/02/2018 02:19:46,2102,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,951.4747859,2102.0,0.0,2102.0,2102.0,2102.0,2102.0,0.0,2102.0,2102.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,951.4747859,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
3389,6,20/02/2018 08:58:03,14411687,11,7,1128.0,1581.0,661.0,0.0,102.54545454545456,197.5613138427479,1173.0,0.0,225.8571428571429,430.0986044197418,187.9724420881469,1.2489863261670893,847746.2941176471,2427829.178071502,9966947.0,4.0,14411687.0,1441168.7,3093279.238969833,9966947.0,4.0,14290600.0,2381766.6666666665,3922814.646688404,10146639.0,123935.0,0,0,0,0,232,152,0.7632694215465545,0.4857169046205347,0.0,1173.0,142.57894736842104,296.9023999359373,88151.0350877193,0,0,1,1,0,0,0,1,0.0,150.5,102.54545454545456,225.8571428571429,0,0,0,0,0,0,11,1128,7,1581,8192,62872,5,20,542250.0,0.0,542250.0,542250.0,9966947.0,0.0,9966947.0,9966947.0,Benign
53,17,15/02/2018 12:28:03,663,1,1,27.0,43.0,27.0,27.0,27.0,0.0,43.0,43.0,43.0,0.0,105580.693815988,3016.5912518854,663.0,0.0,663.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1508.2956259427,1508.2956259427,27.0,43.0,32.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1.0,48.5,27.0,43.0,0,0,0,0,0,0,1,27,1,43,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
445,6,20/02/2018 03:15:45,220030,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.17933918102077,73343.33333333334,126931.3361874574,219911.0,1.0,220030.0,110015.0,155583.29085091368,220029.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,13.634504385765576,4.544834795255192,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
