Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,6,22/02/2018 08:58:28,6454876,4,4,97.0,231.0,97.0,0.0,24.25,48.5,231.0,0.0,57.75,115.5,50.8142991438,1.2393731498,922125.142857143,2412416.82435612,6392728.0,39.0,62148.0,20716.0,35579.8333469959,61800.0,117.0,6454684.0,2151561.33333333,3726073.14533013,6454060.0,269.0,0,0,0,0,92,92,0.6196865749,0.6196865749,0.0,231.0,36.4444444444,79.6996096463,6352.0277777778,0,0,0,1,0,0,0,0,1.0,41.0,24.25,57.75,0,0,0,0,0,0,4,97,4,231,8192,141,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54097,6,21/02/2018 02:31:35,1281,5,2,935.0,324.0,935.0,0.0,187.0,418.1447118,324.0,0.0,162.0,229.1025971,982825.9173,5464.480874,213.5,259.2626082,654.0,7.0,1281.0,320.25,478.3704109,1021.0,7.0,654.0,654.0,0.0,654.0,654.0,0,0,0,0,124,40,3903.200625,1561.28025,0.0,935.0,157.375,334.0371825,111580.8393,0,0,1,1,0,0,0,1,0.0,179.8571429,187.0,162.0,0,0,0,0,0,0,5,935,2,324,65535,32768,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38986,6,16/02/2018 01:48:04,4356017,5,3,935.0,345.0,935.0,0.0,187.0,418.1447118,345.0,0.0,115.0,199.1858429,293.8464198,1.836540124,622288.1429,1614052.904,4282483.0,5.0,4356017.0,1089004.25,2129061.637,4282490.0,55.0,39158.0,19579.0,9687.362902,26429.0,12729.0,0,0,0,0,168,104,1.147837577,0.688702546,0.0,935.0,142.2222222,318.434757,101400.6944,0,0,0,0,1,0,0,0,0.0,160.0,187.0,115.0,0,0,0,0,0,0,5,935,3,345,237,211,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41926,6,16/02/2018 01:45:39,5457305,5,3,935.0,349.0,935.0,0.0,187.0,418.1447118,349.0,0.0,116.3333333,201.4952439,235.2809674,1.465925031,779615.0,2029743.97,5382496.0,5.0,5457305.0,1364326.25,2678841.665,5382502.0,41.0,37305.0,18652.5,19965.15997,32770.0,4535.0,0,0,0,0,168,104,0.916203144,0.549721887,0.0,935.0,142.6666667,318.7557843,101605.25,0,0,0,0,1,0,0,0,0.0,160.5,187.0,116.3333333,0,0,0,0,0,0,5,935,3,349,219,211,1,32,0.0,0.0,0.0,0.0,5382496.0,0.0,5382496.0,5382496.0
80,6,16/02/2018 01:48:00,770,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2597.402597,770.0,0.0,770.0,770.0,770.0,770.0,0.0,770.0,770.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,2597.402597,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3389,6,20/02/2018 01:48:17,2736471,8,7,1148.0,1581.0,677.0,0.0,143.5,228.12966237897004,1173.0,0.0,225.8571428571429,430.0986044197418,997.2698413394478,5.481512502781868,195462.21428571423,258627.6311685849,953180.0,55.0,2736471.0,390924.4285714286,413504.4751091404,1296599.0,313.0,2450974.0,408495.6666666666,267754.88299388054,953180.0,286041.0,0,0,0,0,168,148,2.9234733348169963,2.558039167964872,0.0,1173.0,170.56250000000003,319.4332415909987,102037.59583333335,0,0,0,1,0,0,0,0,0.0,181.9333333333333,143.5,225.8571428571429,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,6,20/02/2018 11:53:03,60317401,14,13,869.0,3306.0,535.0,0.0,62.07142857142858,149.1965478491707,1460.0,0.0,254.30769230769232,538.435756708787,69.21717333278336,0.4476320191581199,2319900.038461538,4257204.174231491,10007237.0,10.0,60317401.0,4639800.076923077,5165538.76733619,10077902.0,2693.0,60245995.0,5020499.583333334,5208972.481879554,10081040.0,30.0,0,0,0,0,292,264,0.2321054914153214,0.2155265277427984,0.0,1460.0,149.10714285714283,386.8433829213742,149647.80291005294,0,0,1,1,0,0,0,1,0.0,154.62962962962962,62.07142857142857,254.30769230769232,0,0,0,0,0,0,14,869,13,3306,8192,31088,8,20,112403.5,102197.36916330089,321013.0,70657.0,9940470.0,145325.93513753833,10007237.0,9645510.0
3389,6,20/02/2018 02:37:05,3647184,10,7,1148.0,1581.0,677.0,0.0,114.8,210.0924664152536,1173.0,0.0,225.8571428571429,430.0986044197418,748.2485117285006,4.661130340558634,227949.00000000003,403207.5993870486,1464793.0,101.0,3647184.0,405242.6666666667,514617.7156474989,1464793.0,11439.0,3536866.0,589477.6666666666,594894.3646681035,1623906.0,124112.0,0,0,0,0,212,152,2.7418413767991963,1.9192889637594368,0.0,1173.0,151.61111111111114,305.08265782337605,93075.42810457516,0,0,1,1,0,0,0,1,0.0,160.52941176470588,114.8,225.8571428571429,0,0,0,0,0,0,10,1148,7,1581,8192,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,6,20/02/2018 09:40:32,153801,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.007633240356046,51267.0,88646.36060775422,153627.0,80.0,153801.0,76900.5,108620.79397840911,153707.0,94.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,19.50572493026704,6.501908310089012,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,6,16/02/2018 01:46:02,7310,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.5978112,7310.0,0.0,7310.0,7310.0,7310.0,7310.0,0.0,7310.0,7310.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,273.5978112,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,17,15/02/2018 08:24:46,500,1,1,31.0,111.0,31.0,31.0,31.0,0.0,111.0,111.0,111.0,0.0,284000.0,4000.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2000.0,2000.0,31.0,111.0,57.6666666667,46.1880215352,2133.3333333333,0,0,0,0,0,0,0,0,1.0,86.5,31.0,111.0,0,0,0,0,0,0,1,31,1,111,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3389,6,20/02/2018 11:20:46,4212395,11,8,1148.0,1581.0,677.0,0.0,104.36363636363636,202.2944748268092,1173.0,0.0,197.625,406.1217050167528,647.8499760824899,4.510498184524481,234021.94444444447,543107.20065222,2178977.0,3.0,4212395.0,421239.5,704860.2108611086,2178977.0,3.0,4169729.0,595675.5714285715,834886.4344841273,2306488.0,24841.0,0,0,0,0,232,172,2.6113410541983835,1.8991571303260968,0.0,1173.0,136.45000000000002,292.3279475988713,85455.62894736844,0,0,1,1,0,0,0,1,0.0,143.6315789473684,104.36363636363636,197.625,0,0,0,0,0,0,11,1148,8,1581,8192,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
