Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
53,17,20/02/2018 05:11:47,330,1,1,35.0,99.0,35.0,35.0,35.0,0.0,99.0,99.0,99.0,0.0,406060.6060606061,6060.606060606061,330.0,0.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3030.3030303030305,3030.3030303030305,35.0,99.0,56.33333333333333,36.95041722813605,1365.3333333333333,0,0,0,0,0,0,0,0,1.0,84.5,35.0,99.0,0,0,0,0,0,0,1,35,1,99,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,20/02/2018 03:32:33,444,1,1,40.0,136.0,40.0,40.0,40.0,0.0,136.0,136.0,136.0,0.0,396396.3963963964,4504.504504504504,444.0,0.0,444.0,444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,2252.252252252252,2252.252252252252,40.0,136.0,72.0,55.42562584220407,3072.0,0,0,0,0,0,0,0,0,1.0,108.0,40.0,136.0,0,0,0,0,0,0,1,40,1,136,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,22/02/2018 02:38:57,2240367,8,7,1148.0,1581.0,677.0,0.0,143.5,228.129662379,1173.0,0.0,225.8571428571,430.0986044197,1218.1039981396,6.6953316131,160026.214285714,250083.789596201,953090.0,88.0,2240367.0,320052.428571429,432013.587667432,1284046.0,149.0,1968458.0,328076.333333333,308377.835340134,953090.0,158062.0,0,0,0,0,168,148,3.570843527,3.1244880861,0.0,1173.0,170.5625,319.433241591,102037.595833333,0,0,0,1,0,0,0,0,0.0,181.9333333333,143.5,225.8571428571,0,0,0,0,0,0,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,16/02/2018 01:48:44,18172,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0594321,18172.0,0.0,18172.0,18172.0,18172.0,18172.0,0.0,18172.0,18172.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,110.0594321,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
53,17,20/02/2018 10:15:23,1072,1,1,40.0,101.0,40.0,40.0,40.0,0.0,101.0,101.0,101.0,0.0,131529.85074626864,1865.6716417910447,1072.0,0.0,1072.0,1072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,932.8358208955224,932.8358208955224,40.0,101.0,60.33333333333333,35.21836642056717,1240.3333333333333,0,0,0,0,0,0,0,0,1.0,90.5,40.0,101.0,0,0,0,0,0,0,1,40,1,101,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,20/02/2018 01:42:49,2024364,7,7,1144.0,1581.0,677.0,0.0,163.42857142857144,238.1951980644286,1173.0,0.0,225.8571428571429,430.0986044197418,1346.1017880183604,6.91575230541543,155720.3076923077,254256.66829517783,953186.0,52.0,2024364.0,337394.0,406340.3683632725,1161506.0,148599.0,1876051.0,312675.1666666667,317032.9862404962,953186.0,148738.0,0,0,0,0,152,152,3.457876152707715,3.457876152707715,0.0,1173.0,181.66666666666669,327.2538697068306,107095.09523809524,0,0,0,1,0,0,0,0,1.0,194.6428571428572,163.42857142857142,225.8571428571429,0,0,0,0,0,0,7,1144,7,1581,8192,62856,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,20/02/2018 01:23:47,117937212,15,15,917.0,7847.0,326.0,0.0,61.13333333333333,97.230114872375,1460.0,0.0,523.1333333333334,681.5271576882807,74.31072730462714,0.2543726402486095,4066800.4137931033,15109583.520452607,58733802.0,0.0,117937212.0,8424086.57142857,21264894.465703763,58733802.0,25.0,117875127.0,8419651.92857143,21297121.96435789,58811519.0,0.0,0,0,0,0,312,312,0.1271863201243047,0.1271863201243047,0.0,1460.0,282.7096774193548,526.5763758182591,277282.67956989247,0,0,1,1,0,0,0,1,1.0,292.1333333333333,61.13333333333333,523.1333333333333,0,0,0,0,0,0,15,917,15,7847,8192,70,7,20,320806.0,343822.1870705845,563925.0,77687.0,58616699.5,165607.94368779537,58733802.0,58499597.0,Benign
80,6,20/02/2018 09:44:25,113,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17699.11504424779,113.0,0.0,113.0,113.0,113.0,113.0,0.0,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,17699.11504424779,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,254,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,16/02/2018 01:45:56,4729,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.9223937,4729.0,0.0,4729.0,4729.0,4729.0,4729.0,0.0,4729.0,4729.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,422.9223937,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
53,17,14/02/2018 10:54:51,933,1,1,46.0,107.0,46.0,46.0,46.0,0.0,107.0,107.0,107.0,0.0,163987.138263666,2143.6227224009,933.0,0.0,933.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1071.8113612004,1071.8113612004,46.0,107.0,66.3333333333,35.2183664206,1240.3333333333,0,0,0,0,0,0,0,0,1.0,99.5,46.0,107.0,0,0,0,0,0,0,1,46,1,107,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,20/02/2018 10:17:48,28358,1,1,33.0,92.0,33.0,33.0,33.0,0.0,92.0,92.0,92.0,0.0,4407.927216305804,70.52683546089287,28358.0,0.0,28358.0,28358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,35.263417730446434,35.263417730446434,33.0,92.0,52.66666666666667,34.06366588218792,1160.3333333333337,0,0,0,0,0,0,0,0,1.0,79.0,33.0,92.0,0,0,0,0,0,0,1,33,1,92,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,02/03/2018 03:45:26,1174,1,1,42.0,182.0,42.0,42.0,42.0,0.0,182.0,182.0,182.0,0.0,190800.6814,1703.577513,1174.0,0.0,1174.0,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,851.7887564,851.7887564,42.0,182.0,88.66666667,80.82903769,6533.333333,0,0,0,0,0,0,0,0,1.0,133.0,42.0,182.0,0,0,0,0,0,0,1,42,1,182,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
443,6,20/02/2018 11:47:36,822,3,0,77.0,0.0,46.0,0.0,25.666666666666664,23.45918441321721,0.0,0.0,0.0,0.0,93673.96593673964,3649.63503649635,411.0,562.8569978244918,809.0,13.0,822.0,411.0,562.8569978244918,809.0,13.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,3649.63503649635,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,1,0,0,1,0,0,0,0.0,41.0,25.666666666666668,0.0,0,0,0,0,0,0,3,77,0,0,256,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,16/02/2018 01:48:11,750,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2666.666667,750.0,0.0,750.0,750.0,750.0,750.0,0.0,750.0,750.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,2666.666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
53,17,20/02/2018 12:12:25,53288,2,2,92.0,286.0,46.0,46.0,46.0,0.0,143.0,143.0,143.0,0.0,7093.529500075064,75.06380423359856,17762.666666666664,16764.938363541136,33311.0,1.0,33311.0,33311.0,0.0,33311.0,33311.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,16,16,37.53190211679928,37.53190211679928,46.0,143.0,84.8,53.12908807800111,2822.7,0,0,0,0,0,0,0,0,1.0,106.0,46.0,143.0,0,0,0,0,0,0,2,92,2,286,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,28/02/2018 10:49:33,12413,1,1,31.0,47.0,31.0,31.0,31.0,0.0,47.0,47.0,47.0,0.0,6283.7347941674,161.1214049787,12413.0,0.0,12413.0,12413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,80.5607024893,80.5607024893,31.0,47.0,36.3333333333,9.237604307,85.3333333333,0,0,0,0,0,0,0,0,1.0,54.5,31.0,47.0,0,0,0,0,0,0,1,31,1,47,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
445,6,20/02/2018 12:15:08,744320,5,4,373.0,172.0,140.0,0.0,74.6,70.2837107728384,133.0,0.0,43.0,62.75348595894893,732.2119518486672,12.091573516766982,93040.0,128332.36206818606,248238.0,42.0,744266.0,186066.5,124001.0936524352,248280.0,65.0,744270.0,248090.0,181.0331461362808,248299.0,247982.0,0,0,0,0,112,92,6.717540842648323,5.374032674118658,0.0,140.0,54.5,64.19804427619964,4121.388888888889,0,0,0,1,0,0,0,0,0.0,60.55555555555556,74.6,43.0,0,0,0,0,0,0,5,373,4,172,8192,0,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3128,6,20/02/2018 10:46:18,1001511,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9969825593528177,1001511.0,0.0,1001511.0,1001511.0,1001511.0,1001511.0,0.0,1001511.0,1001511.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,1.9969825593528177,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,14600,-1,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,20/02/2018 11:32:30,2010912,9,8,1789.0,1581.0,661.0,0.0,198.7777777777778,270.94361857117883,1173.0,0.0,197.62500000000003,406.1217050167528,1675.8565267898348,8.453875654429433,125682.0,157288.07746001176,492449.0,5.0,2010912.0,251364.0,219772.3907513668,658819.0,5.0,1844521.0,263503.0,147645.51407340486,492449.0,165506.0,0,0,0,0,192,184,4.475581228815583,3.9782944256138513,0.0,1173.0,187.22222222222223,323.4871677708689,104643.94771241827,0,0,1,1,0,0,0,1,0.0,198.23529411764707,198.77777777777777,197.625,0,0,0,0,0,0,9,1789,8,1581,8192,62872,6,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
