dst_port,protocol,src_port,flow_duration,prediction,confidence,top3
443,6,37748,47.6837158203125,Benign,0.9056439750719816,"[('Benign', np.float64(0.9056439750719816)), ('DoS', np.float64(0.05382106782106781)), ('Brute Force', np.float64(0.03386829044028375))]"
162,17,57338,0.2384185791015625,Benign,0.9703129459734964,"[('Benign', np.float64(0.9703129459734964)), ('DoS', np.float64(0.015)), ('Brute Force', np.float64(0.006687054026503567))]"
80,6,38110,2268426.6567230225,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38116,2269454.002380371,Benign,0.96,"[('Benign', np.float64(0.96)), ('DoS', np.float64(0.03333333333333333)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38132,2268739.700317383,Benign,0.9352380952380952,"[('Benign', np.float64(0.9352380952380952)), ('DoS', np.float64(0.05142857142857143)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,38144,2268401.622772217,Benign,0.9352380952380952,"[('Benign', np.float64(0.9352380952380952)), ('DoS', np.float64(0.05142857142857143)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,38162,2268136.739730835,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38176,2268427.1335601807,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.0380952380952381)), ('DDoS', np.float64(0.02))]"
80,6,38200,2268473.8636016846,Benign,0.9485714285714285,"[('Benign', np.float64(0.9485714285714285)), ('DoS', np.float64(0.04476190476190476)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38212,2267742.63381958,Benign,0.9352380952380952,"[('Benign', np.float64(0.9352380952380952)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.02))]"
80,6,38242,2268474.578857422,Benign,0.9666666666666667,"[('Benign', np.float64(0.9666666666666667)), ('DoS', np.float64(0.02666666666666667)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38262,2267767.6677703857,Benign,0.9352380952380952,"[('Benign', np.float64(0.9352380952380952)), ('DoS', np.float64(0.05142857142857143)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,38276,2267792.9401397705,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38290,2267817.735671997,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38304,2267841.8159484863,Benign,0.9288888888888888,"[('Benign', np.float64(0.9288888888888888)), ('DoS', np.float64(0.07111111111111112)), ('DDoS', np.float64(0.0))]"
80,6,38322,2267866.373062134,Benign,0.9352380952380952,"[('Benign', np.float64(0.9352380952380952)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.02))]"
80,6,38334,2267544.746398926,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38340,2267569.5419311523,Benign,0.9533333333333334,"[('Benign', np.float64(0.9533333333333334)), ('DoS', np.float64(0.04)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38344,2267593.1453704834,Benign,0.9466666666666667,"[('Benign', np.float64(0.9466666666666667)), ('DoS', np.float64(0.04666666666666667)), ('Botnet', np.float64(0.006666666666666667))]"
