Flow ID,Src IP,Dst IP,Src Port,Dst Port,Protocol,Timestamp,Flow Duration,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Max,Pkt Len Min,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Fwd Header Len,Bwd Header Len,Fwd Seg Size Min,Fwd Act Data Pkts,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Tot,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Byts/b Avg,Fwd Pkts/b Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,CWE Flag Count,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,__identifiers__
192.168.56.106-192.168.56.104-42186-161-17,192.168.56.106,192.168.56.104,42186,161,17,2026-02-25 18:58:36,0.2384185791015625,5721030656.0,16777216.0,16777216.0,0.0,4,0,1196,0,299,299,299.0,0.0,0,0,0,0.0,299,299,299.0,0.0,0.0,32,0,8,4,0.07947285970052083,0.2384185791015625,0.0,0.11239159602905074,0.2384185791015625,0.2384185791015625,0.0,0.07947285970052083,0.11239159602905074,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,299.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,299.0,0,0,4,0,1196,0,"{'Flow ID': '192.168.56.106-192.168.56.104-42186-161-17', 'Src IP': '192.168.56.106', 'Src Port': 42186, 'Dst IP': '192.168.56.104', 'Dst Port': 161, 'Protocol': 17, 'Timestamp': '2026-02-25 18:58:36'}"
192.168.56.106-192.168.56.104-46226-5000-6,192.168.56.106,192.168.56.104,46226,5000,6,2026-02-25 18:58:37,69.61822509765625,2901539.0684931506,43092.16438356164,28728.109589041094,14364.054794520547,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,80,20,40,0,34.809112548828125,69.61822509765625,0.0,34.809112548828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,0.0,26280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,0,"{'Flow ID': '192.168.56.106-192.168.56.104-46226-5000-6', 'Src IP': '192.168.56.106', 'Src Port': 46226, 'Dst IP': '192.168.56.104', 'Dst Port': 5000, 'Protocol': 6, 'Timestamp': '2026-02-25 18:58:37'}"
192.168.56.106-192.168.56.104-47573-1900-17,192.168.56.106,192.168.56.104,47573,1900,17,2026-02-25 18:58:37,551.7005920410156,1885080.4494382022,7250.309420916163,7250.309420916163,0.0,4,0,872,0,218,218,218.0,0.0,0,0,0,0.0,218,218,218.0,0.0,0.0,32,0,8,4,183.90019734700522,551.7005920410156,0.0,260.07415321122346,551.7005920410156,551.7005920410156,0.0,183.90019734700522,260.07415321122346,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,218.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,218.0,0,0,4,0,872,0,"{'Flow ID': '192.168.56.106-192.168.56.104-47573-1900-17', 'Src IP': '192.168.56.106', 'Src Port': 47573, 'Dst IP': '192.168.56.104', 'Dst Port': 1900, 'Protocol': 17, 'Timestamp': '2026-02-25 18:58:37'}"
192.168.56.106-192.168.56.104-32985-27015-17,192.168.56.106,192.168.56.104,32985,27015,17,2026-02-25 18:58:37,0.0,0,0,0,0,4,0,1360,0,340,340,340.0,0.0,0,0,0,0.0,340,340,340.0,0.0,0.0,32,0,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,340.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,340.0,0,0,4,0,1360,0,"{'Flow ID': '192.168.56.106-192.168.56.104-32985-27015-17', 'Src IP': '192.168.56.106', 'Src Port': 32985, 'Dst IP': '192.168.56.104', 'Dst Port': 27015, 'Protocol': 17, 'Timestamp': '2026-02-25 18:58:37'}"
192.168.56.106-192.168.56.104-51264-5353-17,192.168.56.106,192.168.56.104,51264,5353,17,2026-02-25 18:58:37,0.2384185791015625,8640266240.0,16777216.0,16777216.0,0.0,4,0,1892,0,473,473,473.0,0.0,0,0,0,0.0,473,473,473.0,0.0,0.0,32,0,8,4,0.07947285970052083,0.2384185791015625,0.0,0.11239159602905074,0.2384185791015625,0.2384185791015625,0.0,0.07947285970052083,0.11239159602905074,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,473.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,473.0,0,0,4,0,1892,0,"{'Flow ID': '192.168.56.106-192.168.56.104-51264-5353-17', 'Src IP': '192.168.56.106', 'Src Port': 51264, 'Dst IP': '192.168.56.104', 'Dst Port': 5353, 'Protocol': 17, 'Timestamp': '2026-02-25 18:58:37'}"
192.168.56.106-192.168.56.104-55353-5353-17,192.168.56.106,192.168.56.104,55353,5353,17,2026-02-25 18:58:37,0.476837158203125,2894069760.0,6291456.0,6291456.0,0.0,3,0,1254,0,418,418,418.0,0.0,0,0,0,0.0,418,418,418.0,0.0,0.0,24,0,8,3,0.2384185791015625,0.476837158203125,0.0,0.2384185791015625,0.476837158203125,0.476837158203125,0.0,0.2384185791015625,0.2384185791015625,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,418.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,418.0,0,0,3,0,1254,0,"{'Flow ID': '192.168.56.106-192.168.56.104-55353-5353-17', 'Src IP': '192.168.56.106', 'Src Port': 55353, 'Dst IP': '192.168.56.104', 'Dst Port': 5353, 'Protocol': 17, 'Timestamp': '2026-02-25 18:58:37'}"
192.168.56.106-192.168.56.104-59060-443-6,192.168.56.106,192.168.56.104,59060,443,6,2026-02-25 18:58:37,51.021575927734375,3959109.38317757,58798.654205607476,39199.102803738315,19599.551401869157,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,80,20,40,0,25.510787963867188,51.021575927734375,0.0,25.510787963867188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,0.0,26280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,0,"{'Flow ID': '192.168.56.106-192.168.56.104-59060-443-6', 'Src IP': '192.168.56.106', 'Src Port': 59060, 'Dst IP': '192.168.56.104', 'Dst Port': 443, 'Protocol': 6, 'Timestamp': '2026-02-25 18:58:37'}"
192.168.56.106-192.168.56.104-49330-1900-17,192.168.56.106,192.168.56.104,49330,1900,17,2026-02-25 18:58:37,0.2384185791015625,1837105152.0,12582912.0,12582912.0,0.0,3,0,312,0,104,104,104.0,0.0,0,0,0,0.0,104,104,104.0,0.0,0.0,24,0,8,3,0.11920928955078125,0.2384185791015625,0.0,0.11920928955078125,0.2384185791015625,0.2384185791015625,0.0,0.11920928955078125,0.11920928955078125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,104.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,104.0,0,0,3,0,312,0,"{'Flow ID': '192.168.56.106-192.168.56.104-49330-1900-17', 'Src IP': '192.168.56.106', 'Src Port': 49330, 'Dst IP': '192.168.56.104', 'Dst Port': 1900, 'Protocol': 17, 'Timestamp': '2026-02-25 18:58:37'}"
192.168.56.106-192.168.56.104-41872-80-6,192.168.56.106,192.168.56.104,41872,80,6,2026-02-25 18:58:36,3307427.6447296143,371.5878719095825,3.32584751098894,1.5117488686313365,1.8140986423576038,5,6,16,487,7,0,3.2,2.227105745132009,487,0,81.16666666666667,181.49418417373295,487,0,45.72727272727273,139.5591050474776,19476.74380165289,160,192,32,4,330742.7644729614,1679800.271987915,0.0,658434.5302952682,3307269.811630249,1679876.8043518066,0.0,826817.4529075623,821245.4927227906,3307351.1123657227,1679862.7376556396,86.78436279296875,661470.2224731445,805205.6346824529,4,1,0,0,1,0,1,5,11,0,0,1.2,45.72727272727273,26280,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.2,81.16666666666667,0,5,6,16,487,"{'Flow ID': '192.168.56.106-192.168.56.104-41872-80-6', 'Src IP': '192.168.56.106', 'Src Port': 41872, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 18:58:36'}"
192.168.56.106-192.168.56.104-41880-80-6,192.168.56.106,192.168.56.104,41880,80,6,2026-02-25 18:58:36,3308767.557144165,370.2284850306352,3.324500681907745,1.5111366735944296,1.8133640083133153,5,6,12,487,7,0,2.4,2.4979991993593593,487,0,81.16666666666667,181.49418417373295,487,0,45.36363636363637,139.6725213602894,19508.4132231405,160,192,32,4,330876.7557144165,1680464.0293121338,0.0,659825.455397998,3308680.534362793,1680577.5165557861,0.0,827170.1335906982,823924.7106538612,3308654.0699005127,1680479.7649383545,38.38539123535156,661730.8139801025,807356.1145365157,4,1,0,0,1,0,1,5,11,0,0,1.2,45.36363636363637,26280,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.4,81.16666666666667,0,5,6,12,487,"{'Flow ID': '192.168.56.106-192.168.56.104-41880-80-6', 'Src IP': '192.168.56.106', 'Src Port': 41880, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 18:58:36'}"
