Flow ID,Src IP,Dst IP,Src Port,Dst Port,Protocol,Timestamp,Flow Duration,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Max,Pkt Len Min,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Fwd Header Len,Bwd Header Len,Fwd Seg Size Min,Fwd Act Data Pkts,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Tot,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Byts/b Avg,Fwd Pkts/b Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,CWE Flag Count,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,__identifiers__
192.168.56.106-192.168.56.104-37748-443-6,192.168.56.106,192.168.56.104,37748,443,6,2026-02-25 20:27:13,47.6837158203125,4236247.04,62914.56,41943.04,20971.52,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,80,20,40,0,23.84185791015625,47.6837158203125,0.0,23.84185791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,1,0,1,0,0,0.5,0.0,7300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,0,"{'Flow ID': '192.168.56.106-192.168.56.104-37748-443-6', 'Src IP': '192.168.56.106', 'Src Port': 37748, 'Dst IP': '192.168.56.104', 'Dst Port': 443, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:13'}"
192.168.56.106-192.168.56.104-57338-162-17,192.168.56.106,192.168.56.104,57338,162,17,2026-02-25 20:27:14,0.2384185791015625,5922357248.0,16777216.0,16777216.0,0.0,4,0,1244,0,311,311,311.0,0.0,0,0,0,0.0,311,311,311.0,0.0,0.0,32,0,8,4,0.07947285970052083,0.2384185791015625,0.0,0.11239159602905074,0.2384185791015625,0.2384185791015625,0.0,0.07947285970052083,0.11239159602905074,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,311.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,311.0,0,0,4,0,1244,0,"{'Flow ID': '192.168.56.106-192.168.56.104-57338-162-17', 'Src IP': '192.168.56.106', 'Src Port': 57338, 'Dst IP': '192.168.56.104', 'Dst Port': 162, 'Protocol': 17, 'Timestamp': '2026-02-25 20:27:14'}"
192.168.56.106-192.168.56.104-38110-80-6,192.168.56.106,192.168.56.104,38110,80,6,2026-02-25 20:27:14,2268426.6567230225,514.8943196106226,4.408341777488207,2.2041708887441036,2.2041708887441036,5,5,21,487,9,0,4.2,4.069397989875161,487,0,97.4,194.8,487,0,50.8,145.44194718168487,21153.360000000008,160,160,32,3,252047.40630255805,1137400.3887176514,0.0,440091.04591861827,2266279.935836792,1137400.3887176514,0.0,566569.983959198,509035.9564647996,2268312.931060791,1263182.1632385254,54.59785461425781,567078.2327651978,573445.1625939665,3,1,0,0,1,0,1,4,10,0,0,1.0,50.8,7300,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.2,97.4,0,5,5,21,487,"{'Flow ID': '192.168.56.106-192.168.56.104-38110-80-6', 'Src IP': '192.168.56.106', 'Src Port': 38110, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:14'}"
192.168.56.106-192.168.56.104-38116-80-6,192.168.56.106,192.168.56.104,38116,80,6,2026-02-25 20:27:14,2269454.002380371,509.81425434772103,4.406346191423691,2.2031730957118456,2.2031730957118456,5,5,10,487,4,0,2.0,1.6733200530681511,487,0,97.4,194.8,487,0,49.7,145.77451766341056,21250.21,160,160,32,3,252161.55582004125,1137400.3887176514,0.0,440052.4072652733,2266279.458999634,1137400.3887176514,0.0,566569.8647499084,509035.85360118595,2269285.6788635254,1263067.4839019775,45.06111145019531,567321.4197158813,573187.7728783995,3,1,0,0,1,0,1,4,10,0,0,1.0,49.7,7300,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.0,97.4,0,5,5,10,487,"{'Flow ID': '192.168.56.106-192.168.56.104-38116-80-6', 'Src IP': '192.168.56.106', 'Src Port': 38116, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:14'}"
192.168.56.106-192.168.56.104-38132-80-6,192.168.56.106,192.168.56.104,38132,80,6,2026-02-25 20:27:14,2268739.700317383,513.0601804328471,4.407733508873258,2.203866754436629,2.203866754436629,5,5,17,487,6,0,3.4,2.8000000000000003,487,0,97.4,194.8,487,0,50.4,145.55562510600544,21186.440000000002,160,160,32,3,252082.18892415363,1139725.923538208,0.0,440809.71481816546,2268604.7554016113,1139725.923538208,0.0,567151.1888504028,509772.8983181199,2268530.6072235107,1265083.5514068604,51.975250244140625,567132.6518058777,574570.868298367,3,1,0,0,1,0,1,4,10,0,0,1.0,50.4,7300,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.4,97.4,0,5,5,17,487,"{'Flow ID': '192.168.56.106-192.168.56.104-38132-80-6', 'Src IP': '192.168.56.106', 'Src Port': 38132, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:14'}"
192.168.56.106-192.168.56.104-38144-80-6,192.168.56.106,192.168.56.104,38144,80,6,2026-02-25 20:27:14,2268401.622772217,513.5774848266295,4.408390427696391,2.2041952138481955,2.2041952138481955,5,5,18,487,10,0,3.6,3.6660605559646724,487,0,97.4,194.8,487,0,50.5,145.53298595163915,21179.85,160,160,32,3,252044.62475246852,1139725.685119629,0.0,440649.8478407045,2267834.6633911133,1139725.685119629,0.0,566958.6658477783,509607.1229266863,2268362.045288086,1265236.8545532227,35.762786865234375,567090.5113220215,574383.8013583649,3,1,0,0,1,0,1,4,10,0,0,1.0,50.5,7300,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3.6,97.4,0,5,5,18,487,"{'Flow ID': '192.168.56.106-192.168.56.104-38144-80-6', 'Src IP': '192.168.56.106', 'Src Port': 38144, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:14'}"
192.168.56.106-192.168.56.104-38162-80-6,192.168.56.106,192.168.56.104,38162,80,6,2026-02-25 20:27:14,2268136.739730835,516.2828058324938,4.408905259030689,2.2044526295153446,2.2044526295153446,5,5,24,487,10,0,4.8,4.48998886412873,487,0,97.4,194.8,487,0,51.1,145.35229616349375,21127.289999999997,160,160,32,3,252015.1933034261,1140104.2938232422,0.0,440883.6782920641,2267834.424972534,1140104.2938232422,0.0,566958.6062431335,509899.3009654735,2268035.888671875,1264726.161956787,0.0,567008.9721679688,574403.1806836041,3,1,0,0,1,0,1,4,10,0,0,1.0,51.1,7300,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.8,97.4,0,5,5,24,487,"{'Flow ID': '192.168.56.106-192.168.56.104-38162-80-6', 'Src IP': '192.168.56.106', 'Src Port': 38162, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:14'}"
192.168.56.106-192.168.56.104-38176-80-6,192.168.56.106,192.168.56.104,38176,80,6,2026-02-25 20:27:14,2268427.1335601807,514.89421137671,4.408340850827996,2.204170425413998,2.204170425413998,5,5,21,487,9,0,4.2,3.6,487,0,97.4,194.8,487,0,50.8,145.43575901407468,21151.560000000005,160,160,32,3,252047.45928446454,1140103.816986084,0.0,440780.18356106343,2267834.424972534,1140103.816986084,0.0,566958.6062431335,509795.83738625667,2268289.804458618,1264919.0425872803,154.01840209960938,567072.4511146545,574287.3957532505,3,1,0,0,1,0,1,4,10,0,0,1.0,50.8,7300,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4.2,97.4,0,5,5,21,487,"{'Flow ID': '192.168.56.106-192.168.56.104-38176-80-6', 'Src IP': '192.168.56.106', 'Src Port': 38176, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:14'}"
192.168.56.106-192.168.56.104-38200-80-6,192.168.56.106,192.168.56.104,38200,80,6,2026-02-25 20:27:14,2268473.8636016846,511.35700464199016,4.4082500400171565,2.2041250200085782,2.2041250200085782,5,5,13,487,7,0,2.6,2.5768197453450252,487,0,97.4,194.8,487,0,50.0,145.68321797653977,21223.6,160,160,32,3,252052.6515112983,1140103.816986084,0.0,440710.23198209296,2267409.8014831543,1140103.816986084,0.0,566852.4503707886,509704.59960893367,2268435.23979187,1265042.3049926758,50.067901611328125,567108.8099479675,574203.6555259884,3,1,0,0,1,0,1,4,10,0,0,1.0,50.0,7300,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.6,97.4,0,5,5,13,487,"{'Flow ID': '192.168.56.106-192.168.56.104-38200-80-6', 'Src IP': '192.168.56.106', 'Src Port': 38200, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:14'}"
192.168.56.106-192.168.56.104-38212-80-6,192.168.56.106,192.168.56.104,38212,80,6,2026-02-25 20:27:14,2267742.63381958,518.5773652009409,4.4096714727971165,2.2048357363985582,2.2048357363985582,5,5,29,487,10,0,5.8,4.749736834815167,487,0,97.4,194.8,487,0,51.6,145.19793386959745,21082.439999999995,160,160,32,3,251971.40375773114,1140242.099761963,0.0,440837.5192904876,2267548.084259033,1140242.099761963,0.0,566887.0210647583,509743.4823938683,2267672.300338745,1264880.657196045,17.1661376953125,566918.0750846863,574374.0769690882,3,1,0,0,1,0,1,4,10,0,0,1.0,51.6,7300,127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5.8,97.4,0,5,5,29,487,"{'Flow ID': '192.168.56.106-192.168.56.104-38212-80-6', 'Src IP': '192.168.56.106', 'Src Port': 38212, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-25 20:27:14'}"
