Flow ID,Src IP,Dst IP,Src Port,Dst Port,Protocol,Timestamp,Flow Duration,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Max,Pkt Len Min,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Fwd Header Len,Bwd Header Len,Fwd Seg Size Min,Fwd Act Data Pkts,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Tot,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Byts/b Avg,Fwd Pkts/b Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,CWE Flag Count,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,__identifiers__
192.168.56.104-192.168.56.1-80-55145-6,192.168.56.104,192.168.56.1,80,55145,6,2026-02-24 20:24:50,0.0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,40,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,126,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,2,0,0,0,"{'Flow ID': '192.168.56.104-192.168.56.1-80-55145-6', 'Src IP': '192.168.56.104', 'Src Port': 80, 'Dst IP': '192.168.56.1', 'Dst Port': 55145, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:50'}"
192.168.56.1-192.168.56.104-55148-80-6,192.168.56.1,192.168.56.104,55148,80,6,2026-02-24 20:24:50,344610.21423339844,2089.3170610211705,17.410975508509754,11.60731700567317,5.803658502836585,4,2,378,0,378,0,94.5,163.6788013152589,0,0,0.0,0.0,378,0,63.0,140.87228258248675,19845.0,80,40,20,4,68922.04284667969,294150.59089660645,0.0,113579.9003698196,304003.2386779785,295128.82232666016,0.0,101334.4128926595,137081.2257077264,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,6,0,0,0.5,63.0,26883,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,94.5,0.0,0,4,2,378,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55148-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55148, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:50'}"
192.168.56.1-192.168.56.104-55147-80-6,192.168.56.1,192.168.56.104,55147,80,6,2026-02-24 20:24:50,336946.964263916,3139.960029944992,14.839130576299587,8.903478345779751,5.9356522305198345,3,2,782,0,391,0,260.6666666666667,184.3191676292934,0,0,0.0,0.0,391,0,156.4,191.5500978856445,36691.439999999995,60,40,20,3,84236.741065979,295958.5189819336,0.0,123374.56909618936,295995.71228027344,295995.71228027344,0.0,147997.85614013672,147997.85614013672,0.0,0.0,0.0,0.0,0.0,2,0,0,0,1,0,0,2,5,0,0,0.6666666666666666,156.4,26883,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,260.6666666666667,0.0,0,3,2,782,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55147-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55147, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:50'}"
192.168.56.1-192.168.56.104-55146-80-6,192.168.56.1,192.168.56.104,55146,80,6,2026-02-24 20:24:50,40322.78060913086,4315.17860056999,74.39963104431015,49.59975402954011,24.799877014770054,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40,20,20,2,20161.39030456543,40322.78060913086,0.0,20161.39030456543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,3,0,0,0.5,0.0,26883,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55146-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55146, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:50'}"
192.168.56.1-192.168.56.104-55149-80-6,192.168.56.1,192.168.56.104,55149,80,6,2026-02-24 20:24:50,342010.7364654541,2555.475331074237,23.39107854530194,14.619424090813714,8.771654454488228,5,3,394,0,394,0,78.8,157.6,0,0,0.0,0.0,394,0,49.25,130.3032520699311,16978.9375,124,72,20,3,48858.67663792202,300557.61337280273,0.0,103725.55192034529,300923.58589172363,300580.7399749756,0.0,75230.89647293091,130105.86809473962,341963.0527496338,341644.7639465332,318.28880310058594,170981.5263748169,170663.2375717163,1,0,0,0,1,3,0,1,6,0,0,0.6,49.25,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,78.8,0.0,0,5,3,394,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55149-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55149, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:50'}"
192.168.56.1-192.168.56.104-55150-80-6,192.168.56.1,192.168.56.104,55150,80,6,2026-02-24 20:24:50,340513.2293701172,2587.270989822268,23.493947694186314,14.683717308866447,8.810230385319867,5,3,401,0,401,0,80.2,160.4,0,0,0.0,0.0,401,0,50.125,132.6182844671126,17587.609375,124,72,20,3,48644.74705287388,299057.0068359375,0.0,103178.26412557554,299903.86962890625,299087.0475769043,0.0,74975.96740722656,129390.70210527604,340350.3894805908,339666.36657714844,684.0229034423828,170175.1947402954,169491.17183685303,1,0,0,0,1,3,0,1,6,0,0,0.6,50.125,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,80.2,0.0,0,5,3,401,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55150-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55150, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:50'}"
192.168.56.1-192.168.56.104-55151-80-6,192.168.56.1,192.168.56.104,55151,80,6,2026-02-24 20:24:50,350849.86686706543,2767.565536423319,22.801775789275542,14.251109868297215,8.550665920978329,5,3,491,0,491,0,98.2,196.4,0,0,0.0,0.0,491,0,61.375,162.38298671658924,26368.234375,124,72,20,3,50121.40955243792,299741.5065765381,0.0,102811.42903648902,310379.7435760498,299790.3823852539,0.0,77594.93589401245,128339.4669275123,350804.56733703613,340211.6298675537,10592.937469482422,175402.28366851807,164809.34619903564,1,0,0,0,1,3,0,1,6,0,0,0.6,61.375,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,98.2,0.0,0,5,3,491,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55151-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55151, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:50'}"
192.168.56.1-192.168.56.104-55152-80-6,192.168.56.1,192.168.56.104,55152,80,6,2026-02-24 20:24:51,352302.07443237305,2526.241156637986,22.70778567764482,14.192366048528012,8.515419629116808,5,3,410,0,410,0,82.0,164.0,0,0,0.0,0.0,410,0,51.25,135.59475469206026,18385.9375,124,72,20,3,50328.86777605329,300165.65322875977,0.0,102927.4719074087,311420.9175109863,300216.9132232666,0.0,77855.22937774658,128455.43916024335,352251.0528564453,341046.8101501465,11204.242706298828,176125.52642822266,164921.28372192383,1,0,0,0,1,3,0,1,6,0,0,0.6,51.25,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,82.0,0.0,0,5,3,410,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55152-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55152, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55153-80-6,192.168.56.1,192.168.56.104,55153,80,6,2026-02-24 20:24:51,341643.5718536377,2446.9946718568667,23.416216955568103,14.635135597230063,8.781081358338039,5,3,356,0,356,0,71.2,142.4,0,0,0.0,0.0,356,0,44.5,117.73593334237428,13861.75,124,72,20,3,48806.22455051968,300387.8593444824,0.0,103658.43005017491,300940.75202941895,300410.27069091797,0.0,75235.18800735474,130005.07474344369,341598.7491607666,341090.6791687012,508.0699920654297,170799.3745803833,170291.30458831787,1,0,0,0,1,3,0,1,6,0,0,0.6,44.5,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,71.2,0.0,0,5,3,356,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55153-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55153, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
192.168.56.1-192.168.56.104-55154-80-6,192.168.56.1,192.168.56.104,55154,80,6,2026-02-24 20:24:51,351423.978805542,2649.22161306233,22.764525139096282,14.227828211935178,8.536696927161106,5,3,451,0,451,0,90.2,180.4,0,0,0.0,0.0,451,0,56.375,149.1542301612663,22246.984375,124,72,20,3,50203.42554364886,300185.6803894043,0.0,102957.86166232305,311096.4298248291,300237.65563964844,0.0,77774.10745620728,128505.48022025144,351368.4272766113,340513.2293701172,10855.19790649414,175684.21363830566,164829.01573181152,1,0,0,0,1,3,0,1,6,0,0,0.6,56.375,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,90.2,0.0,0,5,3,451,0,"{'Flow ID': '192.168.56.1-192.168.56.104-55154-80-6', 'Src IP': '192.168.56.1', 'Src Port': 55154, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:24:51'}"
