Flow ID,Src IP,Dst IP,Src Port,Dst Port,Protocol,Timestamp,Flow Duration,Flow Byts/s,Flow Pkts/s,Fwd Pkts/s,Bwd Pkts/s,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Pkt Len Max,Pkt Len Min,Pkt Len Mean,Pkt Len Std,Pkt Len Var,Fwd Header Len,Bwd Header Len,Fwd Seg Size Min,Fwd Act Data Pkts,Flow IAT Mean,Flow IAT Max,Flow IAT Min,Flow IAT Std,Fwd IAT Tot,Fwd IAT Max,Fwd IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Tot,Bwd IAT Max,Bwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Init Fwd Win Byts,Init Bwd Win Byts,Active Max,Active Min,Active Mean,Active Std,Idle Max,Idle Min,Idle Mean,Idle Std,Fwd Byts/b Avg,Fwd Pkts/b Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Blk Rate Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,CWE Flag Count,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,__identifiers__
192.168.56.1-192.168.56.104-53898-80-6,192.168.56.1,192.168.56.104,53898,80,6,2026-02-24 20:08:51,847.8164672851562,2092433.9977502811,9436.004499437571,4718.002249718786,4718.002249718786,4,4,874,456,437,0,218.5,218.5,456,0,114.0,197.45379206285202,456,0,166.25,214.69789821980092,46095.1875,80,80,20,4,121.11663818359375,546.6938018798828,0.0,182.32468622057084,838.5181427001953,838.5181427001953,0.0,279.50604756673175,395.2812432341715,815.6299591064453,546.6938018798828,100.85105895996094,271.87665303548175,196.2540071516095,2,1,0,0,2,0,0,3,8,0,0,1.0,166.25,26883,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,218.5,114.0,0,4,4,874,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53898-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53898, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:51'}"
192.168.56.1-192.168.56.104-53899-80-6,192.168.56.1,192.168.56.104,53899,80,6,2026-02-24 20:08:51,586.7481231689453,2835969.8724095896,13634.470540430719,6817.235270215359,6817.235270215359,4,4,764,456,382,0,191.0,191.0,456,0,114.0,197.45379206285202,456,0,152.5,198.0321943523325,39216.75,80,80,20,4,83.82116045270647,207.42416381835938,0.0,83.89051769567834,547.1706390380859,546.9322204589844,0.0,182.3902130126953,257.770143869278,574.5887756347656,207.42416381835938,171.661376953125,191.52959187825522,14.868010627325143,2,1,0,0,2,0,0,3,8,0,0,1.0,152.5,26883,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,191.0,114.0,0,4,4,764,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53899-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53899, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:51'}"
192.168.56.1-192.168.56.104-53900-80-6,192.168.56.1,192.168.56.104,53900,80,6,2026-02-24 20:08:51,11685.848236083984,131783.33047700656,941.3095034071898,513.4415473130126,427.86795609417715,6,5,436,456,436,0,72.66666666666667,162.4876063649847,456,0,91.2,182.4,456,0,81.0909090909091,172.0726350572257,29608.991735537187,144,112,20,4,1168.5848236083984,10589.599609375,0.0,3142.9059944614337,11656.761169433594,10589.599609375,0.0,2331.3522338867188,4136.5770911357995,11639.833450317383,11014.938354492188,103.23524475097656,2909.9583625793457,4680.104767857438,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,81.0909090909091,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,72.66666666666667,91.2,0,6,5,436,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53900-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53900, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:51'}"
192.168.56.1-192.168.56.104-53901-80-6,192.168.56.1,192.168.56.104,53901,80,6,2026-02-24 20:08:51,10909.318923950195,142722.01691544463,1008.3122582337129,549.9885044911161,458.32375374259675,6,5,453,456,453,0,75.5,168.82313230123412,456,0,91.2,182.4,456,0,82.63636363636364,175.2993661386003,30729.867768595042,144,112,20,4,1090.9318923950195,8746.147155761719,0.0,2585.165159702215,10871.171951293945,8746.147155761719,0.0,2174.234390258789,3331.789359859043,10860.443115234375,10256.290435791016,128.5076141357422,2715.1107788085938,4354.169237906635,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,82.63636363636364,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,75.5,91.2,0,6,5,453,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53901-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53901, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:51'}"
192.168.56.1-192.168.56.104-53902-80-6,192.168.56.1,192.168.56.104,53902,80,6,2026-02-24 20:08:51,11376.142501831055,124646.82116734779,966.9358482657445,527.419553599497,439.5162946662475,6,5,314,456,314,0,52.333333333333336,117.02089082248901,456,0,91.2,182.4,456,0,70.0,151.54717237396895,22966.545454545456,144,112,20,4,1137.6142501831055,10159.730911254883,0.0,3010.8265547727165,11368.513107299805,10159.730911254883,0.0,2273.702621459961,3954.007628914382,11237.859725952148,10452.2705078125,94.17533874511719,2809.464931488037,4414.621080623987,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,70.0,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,52.333333333333336,91.2,0,6,5,314,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53902-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53902, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:51'}"
192.168.56.1-192.168.56.104-53903-80-6,192.168.56.1,192.168.56.104,53903,80,6,2026-02-24 20:08:51,11412.620544433594,130995.33049218684,963.8452410796357,525.7337678616194,438.1114732180162,6,5,391,456,391,0,65.16666666666667,145.71709653373628,456,0,91.2,182.4,456,0,77.0,163.92847664315514,26872.545454545456,144,112,20,4,1141.2620544433594,10112.524032592773,0.0,2993.1421978223475,11402.368545532227,10112.524032592773,0.0,2280.4737091064453,3930.507963373826,11270.04623413086,10394.811630249023,156.402587890625,2817.511558532715,4375.5501982879505,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,77.0,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,65.16666666666667,91.2,0,6,5,391,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53903-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53903, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:51'}"
192.168.56.1-192.168.56.104-53904-80-6,192.168.56.1,192.168.56.104,53904,80,6,2026-02-24 20:08:52,12145.99609375,120945.20603015076,823.3165829145729,493.9899497487437,329.32663316582915,6,4,419,456,419,0,69.83333333333333,156.1520804287353,456,0,114.0,197.45379206285202,456,0,87.5,175.19546227000288,30693.45,144,92,20,4,1349.5551215277778,10096.311569213867,0.0,3103.692947780827,12145.99609375,10096.311569213867,0.0,2429.19921875,3858.6230168954385,11955.022811889648,10393.857955932617,629.1866302490234,3985.007603963216,4533.4271666531995,1,1,0,0,2,3,0,2,8,0,0,0.6666666666666666,87.5,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,69.83333333333333,114.0,0,6,4,419,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53904-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53904, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:52'}"
192.168.56.1-192.168.56.104-53905-80-6,192.168.56.1,192.168.56.104,53905,80,6,2026-02-24 20:08:52,10950.803756713867,134784.62702749777,1004.4924778472056,547.9049879166575,456.587489930548,6,5,372,456,372,0,62.0,138.63621460498698,456,0,91.2,182.4,456,0,75.27272727272727,160.67872569995686,25817.65289256198,144,112,20,4,1095.0803756713867,9948.73046875,0.0,2953.829945658934,10942.459106445312,9948.73046875,0.0,2188.4918212890625,3888.9302798221584,10901.689529418945,10218.620300292969,95.84426879882812,2725.4223823547363,4327.829230311961,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,75.27272727272727,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,62.0,91.2,0,6,5,372,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53905-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53905, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:52'}"
192.168.56.1-192.168.56.104-53906-80-6,192.168.56.1,192.168.56.104,53906,80,6,2026-02-24 20:08:52,1482.4867248535156,999671.6834995175,7419.965262142168,4047.2537793502734,3372.7114827918945,6,5,378,456,378,0,63.0,140.87228258248675,456,0,91.2,182.4,456,0,75.81818181818181,161.69208570153458,26144.3305785124,144,112,20,4,148.24867248535156,657.3200225830078,0.0,192.48796888298307,1478.9104461669922,745.0580596923828,0.0,295.78208923339844,265.4322767932923,1343.0118560791016,657.3200225830078,1.430511474609375,335.7529640197754,241.96228591514648,1,1,0,0,2,3,0,2,9,0,0,0.8333333333333334,75.81818181818181,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,63.0,91.2,0,6,5,378,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53906-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53906, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:52'}"
192.168.56.1-192.168.56.104-53907-80-6,192.168.56.1,192.168.56.104,53907,80,6,2026-02-24 20:08:52,1204.2522430419922,1229808.7950900812,8303.908137002574,4982.344882201544,3321.5632548010294,6,4,431,456,431,0,71.83333333333333,160.6242163837349,456,0,114.0,197.45379206285202,456,0,88.7,177.48805593616717,31502.010000000002,144,92,20,4,133.80580478244357,438.690185546875,0.0,147.64238402995147,1204.2522430419922,635.6239318847656,0.0,240.85044860839844,241.45464898925653,996.1128234863281,438.690185546875,209.0930938720703,332.03760782877606,94.43790381756783,1,1,0,0,2,3,0,2,8,0,0,0.6666666666666666,88.7,26883,64240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,71.83333333333333,114.0,0,6,4,431,456,"{'Flow ID': '192.168.56.1-192.168.56.104-53907-80-6', 'Src IP': '192.168.56.1', 'Src Port': 53907, 'Dst IP': '192.168.56.104', 'Dst Port': 80, 'Protocol': 6, 'Timestamp': '2026-02-24 20:08:52'}"
